sample,group
iA3,Cor_P4
iA4,Cor_P4
iA7,Cor_P4
mA5,Cor_2m
mA7,Cor_2m
mA10,Cor_2m
P3_3,Str_P3
P3_4,Str_P3
P3_5,Str_P3
Ad_3,Str_3m
Ad_4,Str_3m
Ad_5,Str_3m
