sample,group
X6_NSC_1,NSC_EF
X8_EF_5,NSC_EF
X9_EF_6,NSC_EF
X6_B14d_1,Astr_BMP
X8_B14d_5,Astr_BMP
X9_B14d_4,Astr_BMP
iA3,Astr_P4
iA4,Astr_P4
iA7,Astr_P4
mA5,Astr_2m
mA7,Astr_2m
mA10,Astr_2m
