sample,group
X9_B14d_4,Astr_BMP
X8_B14d_5,Astr_BMP
X6_B14d_1,Astr_BMP
lA_2_1,Astr_mESC_CNTF
lA_2_2,Astr_mESC_CNTF
lA_2_3,Astr_mESC_CNTF
PA_1A1,Astr_prim
PA_2A1,Astr_prim
PA_3A1,Astr_prim
PA_A1,Astr_prim
PA_A2,Astr_prim
PA_A3,Astr_prim
iA3,Astr_P4
iA4,Astr_P4
iA7,Astr_P4
mA5,Astr_2m
mA7,Astr_2m
mA10,Astr_2m
