sample,group
X6_2D_Bas_2,bas_2D
X8_2D_Bas_1,bas_2D
X9_2D_bas_1,bas_2D
X6_2D_FGF_1,FGF_2D
X8_2D_FGF_1,FGF_2D
X9_2D_FGF_2,FGF_2D
X6_3D_bas_1,bas_3D
X8_3D_bas_1,bas_3D
X9_3D_bas_1,bas_3D
X6_3D_FGF_1,FGF_3D
X8_3D_FGF_1,FGF_3D
X9_3D_FGF_1,FGF_3D
iA3,Astr_P4
iA4,Astr_P4
iA7,Astr_P4
mA5,Astr_2m
mA7,Astr_2m
mA10,Astr_2m
