sample,group
X6B_EGFP_2,EGFP
X6B_EGFP_3,EGFP
X8B_EGFP_1,EGFP
X8B_EGFP_3,EGFP
X9B_EGFP_2,EGFP
X9B_EGFP_4,EGFP
X6B_Rorb_3,Rorb
X8B_Rorb_3,Rorb
X9B_Rorb_3,Rorb
X6B_Dbx2_2,Dbx2
X8B_Dbx2_1,Dbx2
X9B_Dbx2_1,Dbx2
X6B_Lhx2_3,Lhx2
X8B_Lhx2_3,Lhx2
X9B_Lhx2_4,Lhx2
X6B_Fezf2_3,Fezf2
X8B_Fezf2_3,Fezf2
X9B_Fezf2_3,Fezf2
iA3,Astr_P4
iA4,Astr_P4
iA7,Astr_P4
mA5,Astr_2m
mA7,Astr_2m
mA10,Astr_2m
